variable,VIF
COBERTURA DE LA CARTERA DE VIVIENDA DE IINTERES PUBLICO,inf
ACTIVOS IMPRODUCTIVOS NETOS / TOTAL ACTIVOS,inf
ACTIVOS PRODUCTIVOS / TOTAL ACTIVOS,inf
FI = 1 + (ACTIVOS IMPRODUCTIVOS / ACTIVOS TOTALES),inf
MOROSIDAD DE LA CARTERA DE VIVIENDA DE INTERES SOCIAL Y PUBLICO,inf
MOROSIDAD DE LA CARTERA DE CREDITO EDUCATIVO,inf
COBERTURA DE LA CARTERA DE CREDITO EDUCATIVO,inf
INDICE DE CAPITALIZACION NETO: FK / FI,5744.508021447237
FK = (PATRIMONIO + RESULTADOS - INGRESOS EXTRAORDINARIOS) / ACTIVOS TOTALES,4802.789144325035
MARGEN DE INTERMEDIACIÓN ESTIMADO / PATRIMONIO PROMEDIO,1798.9748431772407
COBERTURA DE LA CARTERA PROBLEMÁTICA,1758.2262623976117
GASTOS DE OPERACION  / MARGEN FINANCIERO,1294.1067197550753
ACTIVOS PRODUCTIVOS / PASIVOS CON COSTO,1127.8744952249003
MARGEN DE INTERMEDIACIÓN ESTIMADO / ACTIVO PROMEDIO,1010.7352974575845
GASTOS DE PERSONAL ESTIMADOS / ACTIVO PROMEDIO ,641.4039941651503
RESULTADOS DEL EJERCICIO / ACTIVO PROMEDIO,623.5269883011701
GASTOS DE OPERACION ESTIMADOS / TOTAL ACTIVO PROMEDIO ,588.1635551182686
RESULTADOS DEL EJERCICIO / PATRIMONIO PROMEDIO,452.2405833333233
RENDIMIENTO DE LA CARTERA DE MICROCREDITO POR VENCER,432.4893214643829
CARTERAS DE CRÉDITOS  REESTRUCTURADAS,415.3891950444129
COBERTURA DE LA CARTERA DE CREDITO CONSUMO,415.0677355765341
COBERTURA DE LA CARTERA DE MICROCREDITO,365.48889150825767
MOROSIDAD DE LA CARTERA TOTAL,251.30710382709933
MOROSIDAD DE LA CARTERA DE MICROCREDITO,147.56189778564584
CARTERA IMPRODUCTIVA / PATRIMONIO (DIC),91.95931260900798
CARTERA POR VENCER TOTAL,81.6400877111916
COBERTURA DE LA CARTERA DE CREDITO PRODUCTIVO,51.941870008810334
CARTERA BRUTA / (DEPOSITOS A LA VISTA + DEPOSITOS A PLAZO),50.36632894811951
CARTERAS DE CRÉDITOS  REFINANCIADAS,41.70922681897077
MOROSIDAD DE LA CARTERA DE CONSUMO,28.306686039586545
( PATRIMONIO + RESULTADOS ) / ACTIVOS INMOVILIZADOS,20.806938648336143
RENDIMIENTO DE LA CARTERA DE VIVIENDA DE IINTERES PUBLICO POR VENCER,19.032033843220088
RENDIMIENTO DE LA CARTERA DE CREDITO EDUCATIVO POR VENCER,18.737916760012126
COBERTURA DE LA CARTERA DE CREDITO INMOBILIARIO,16.579726115131887
CARTERA IMPRODUCTIVA DESCUBIERTA / (PATRIMONIO + RESULTADOS),15.325474489493189
RENDIMIENTO DE LA CARTERA DE CREDITO PRODUCTIVO POR VENCER,14.301916047533588
FONDOS DISPONIBLES / TOTAL DEPOSITOS A CORTO PLAZO ,13.175533323505412
MOROSIDAD DE LA CARTERA DE CREDITO PRODUCTIVO,12.995172034431056
RENDIMIENTO DE LA CARTERA DE CREDITO CONSUMO,11.633353654583022
MOROSIDAD DE LA CARTERA DE CREDITO INMOBILIARIO,9.507005705749478
RANKING,8.00258132126796
RENDIMIENTO DE LA CARTERA DE CREDITO INMOBILIARIO POR VENCER,7.413935009282771
