RANKING,( PATRIMONIO + RESULTADOS ) / ACTIVOS INMOVILIZADOS,MOROSIDAD DE LA CARTERA DE CREDITO PRODUCTIVO,MOROSIDAD DE LA CARTERA DE CREDITO INMOBILIARIO,COBERTURA DE LA CARTERA DE CREDITO INMOBILIARIO,COBERTURA DE LA CARTERA DE VIVIENDA DE IINTERES PUBLICO,RENDIMIENTO DE LA CARTERA DE CREDITO PRODUCTIVO POR VENCER,RENDIMIENTO DE LA CARTERA DE CREDITO CONSUMO,RENDIMIENTO DE LA CARTERA DE CREDITO INMOBILIARIO POR VENCER,RENDIMIENTO DE LA CARTERA DE CREDITO EDUCATIVO POR VENCER,FONDOS DISPONIBLES / TOTAL DEPOSITOS A CORTO PLAZO ,Cluster
1,-233.715,0.03,0.056,1.622,0.0,0.108,0.149,0.101,0.0,0.374,0
2,2.184,0.055,0.023,1.051,0.0,0.084,0.138,0.094,0.0,0.278,2
2,0.6,0.0,0.066,1.014,0.0,0.0,0.143,0.105,0.0,0.359,2
2,1.648,0.0,0.0,563.808,0.0,0.0,0.122,0.082,0.0,0.349,2
2,11.282,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.345,2
2,12.343,0.016,0.013,1.212,0.0,0.097,0.147,0.096,0.0,0.434,0
2,7.345,0.0,0.011,1.582,0.0,0.0,0.154,0.1,0.0,0.344,2
2,2.4,0.016,0.027,1.135,0.0,0.103,0.136,0.096,0.0,0.365,0
2,-22.964,0.087,0.035,1.004,0.0,0.097,0.142,0.092,0.0,0.492,0
2,2.254,0.002,0.053,0.977,0.0,0.103,0.154,0.104,0.0,0.323,0
2,2.083,0.071,0.029,1.611,0.0,0.106,0.149,0.102,0.0,0.326,0
2,4.174,0.049,0.049,1.078,0.0,0.103,0.146,0.103,0.0,0.373,0
2,5.142,0.0,0.0,0.0,0.0,0.0,0.146,0.101,0.0,0.263,2
2,-7.984,0.008,0.019,1.586,0.0,0.11,0.155,0.102,0.0,0.511,0
2,7.491,0.0,0.016,1.905,0.0,0.0,0.145,0.098,0.0,0.345,2
2,21.658,0.0,0.026,0.736,0.0,0.0,0.145,0.103,0.0,0.718,0
3,7.341,0.0,0.026,1.005,0.0,0.0,0.156,0.088,0.0,0.254,2
3,2.715,0.016,0.028,0.978,0.0,0.109,0.149,0.094,0.0,0.541,0
3,2.691,0.106,0.011,2.47,0.0,0.086,0.147,0.097,0.0,0.382,0
3,3.374,0.149,0.056,1.071,0.0,0.102,0.151,0.101,0.0,0.163,1
3,2.062,0.0,0.027,0.981,0.0,0.106,0.157,0.099,0.089,0.541,0
3,2.788,0.0,0.0,1276.49,0.0,0.0,0.132,0.091,0.0,0.204,2
3,4.558,0.0,0.0,2869.049,0.0,0.0,0.151,0.078,0.0,0.309,2
3,2.076,0.02,0.102,0.899,0.0,0.124,0.14,0.095,0.0,0.339,1
3,5.121,0.0,0.048,0.718,0.0,0.109,0.147,0.105,0.071,0.687,0
3,8.437,0.158,0.0,2047.62,0.0,0.112,0.133,0.106,0.0,0.611,2
3,1.431,0.833,0.021,0.405,0.0,0.0,0.153,0.105,0.0,0.252,1
3,0.494,0.512,0.068,0.278,0.128,0.022,0.147,0.094,0.0,0.236,1
4,1.358,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.0,0.355,2
4,5.496,0.035,0.035,0.488,0.0,0.105,0.153,0.089,0.0,0.543,0
4,1.461,0.081,0.0,0.0,0.0,0.11,0.149,0.0,0.0,0.258,2
4,1.103,0.0,0.069,0.371,0.0,0.0,0.152,0.089,0.0,0.589,0
4,0.797,0.004,0.053,0.598,0.0,0.076,0.109,0.214,0.0,0.254,1
4,2.121,0.0,0.08,0.888,0.0,0.089,0.139,0.096,0.0,0.319,1
4,1.607,0.0,0.159,0.759,0.0,0.0,0.148,0.376,0.0,0.262,1
4,1.421,0.071,0.022,0.649,0.0,0.066,0.153,0.108,0.0,0.366,0
4,6.257,0.0,0.0,3586.229,0.0,0.0,0.153,0.103,0.0,0.42,2
4,1.741,0.0,0.136,0.553,0.0,0.0,0.15,0.083,0.0,0.333,1
4,0.552,0.001,0.116,0.152,0.0,0.064,0.12,0.085,0.0,0.457,1
4,0.427,0.0,0.0,0.0,0.0,0.0,0.157,0.112,0.0,0.524,2
5,1.321,0.111,0.03,0.632,0.0,0.081,0.148,0.099,0.0,0.244,1
6,0.834,0.488,0.037,0.339,0.0,0.101,0.147,0.089,0.0,0.36,1
